Date,Temp
1886/04,-0.336454545
1886/05,-0.192545455
1886/06,-0.386909091
1886/07,-0.284272727
1886/08,-0.341
1886/09,-0.433363636
1886/10,-0.362272727
1886/11,-0.424272727
1886/12,-0.426545455
1887/01,-0.567
1887/02,-0.557818182
1887/03,-0.459454545
1887/04,-0.436545455
1887/05,-0.355636364
1887/06,-0.406090909
1887/07,-0.268454545
1887/08,-0.369363636
1887/09,-0.344
1887/10,-0.504363636
1887/11,-0.408363636
1887/12,-0.398181818
1888/01,-0.604090909
1888/02,-0.454909091
1888/03,-0.545090909
1888/04,-0.243363636
1888/05,-0.349727273
1888/06,-0.292363636
1888/07,-0.306636364
1888/08,-0.283181818
1888/09,-0.219181818
1888/10,-0.104
1888/11,-0.198909091
1888/12,-0.178636364
1889/01,-0.056
1889/02,-0.098636364
1889/03,-0.069090909
1889/04,0.011636364
1889/05,-0.081090909
1889/06,-0.149909091
1889/07,-0.196090909
1889/08,-0.228909091
1889/09,-0.384181818
1889/10,-0.298545455
1889/11,-0.399454545
1889/12,-0.177181818
1890/01,-0.325636364
1890/02,-0.368
1890/03,-0.461
1890/04,-0.318272727
1890/05,-0.427272727
1890/06,-0.379909091
1890/07,-0.415818182
1890/08,-0.424545455
1890/09,-0.480181818
1890/10,-0.503454545
1890/11,-0.570909091
1890/12,-0.409636364
1891/01,-0.517181818
1891/02,-0.470181818
1891/03,-0.373818182
1891/04,-0.361363636
1891/05,-0.211636364
1891/06,-0.301363636
1891/07,-0.331090909
1891/08,-0.321818182
1891/09,-0.207454545
1891/10,-0.333727273
1891/11,-0.546181818
1891/12,-0.126909091
1892/01,-0.410545455
1892/02,-0.124363636
1892/03,-0.461454545
1892/04,-0.484272727
1892/05,-0.404636364
1892/06,-0.465727273
1892/07,-0.535090909
1892/08,-0.449181818
1892/09,-0.329636364
1892/10,-0.446272727
1892/11,-0.627727273
1892/12,-0.797363636
1893/01,-0.965181818
1893/02,-0.726545455
1893/03,-0.377090909
1893/04,-0.565272727
1893/05,-0.555454545
1893/06,-0.465272727
1893/07,-0.278909091
1893/08,-0.293454545
1893/09,-0.443
1893/10,-0.273090909
1893/11,-0.415181818
1893/12,-0.352818182
1894/01,-0.456636364
1894/02,-0.382454545
1894/03,-0.382818182
1894/04,-0.380909091
1894/05,-0.430545455
1894/06,-0.494
1894/07,-0.318818182
1894/08,-0.346909091
1894/09,-0.467
1894/10,-0.445090909
1894/11,-0.425
1894/12,-0.407090909
1895/01,-0.500363636
1895/02,-0.681
1895/03,-0.530454545
1895/04,-0.409181818
1895/05,-0.418090909
1895/06,-0.334
1895/07,-0.359181818
1895/08,-0.270272727
1895/09,-0.289454545
1895/10,-0.344
1895/11,-0.303181818
1895/12,-0.321272727
1896/01,-0.225909091
1896/02,-0.235454545
1896/03,-0.386818182
1896/04,-0.350818182
1896/05,-0.211454545
1896/06,-0.124909091
1896/07,-0.112818182
1896/08,-0.071
1896/09,-0.114636364
1896/10,-0.130727273
1896/11,-0.294636364
1896/12,-0.035272727
1897/01,-0.203454545
1897/02,-0.126727273
1897/03,-0.279181818
1897/04,-0.070818182
1897/05,-0.031181818
1897/06,-0.164181818
1897/07,-0.164545455
1897/08,-0.161818182
1897/09,-0.145
1897/10,-0.262909091
1897/11,-0.459636364
1897/12,-0.486454545
1898/01,-0.085454545
1898/02,-0.383727273
1898/03,-0.753727273
1898/04,-0.569
1898/05,-0.475636364
1898/06,-0.324909091
1898/07,-0.382727273
1898/08,-0.311909091
1898/09,-0.337818182
1898/10,-0.561454545
1898/11,-0.452818182
1898/12,-0.362727273
1899/01,-0.214272727
1899/02,-0.504545455
1899/03,-0.544818182
1899/04,-0.347
1899/05,-0.312818182
1899/06,-0.394272727
1899/07,-0.281545455
1899/08,-0.153363636
1899/09,-0.140545455
1899/10,-0.189272727
1899/11,0.025818182
1899/12,-0.458454545
1900/01,-0.247272727
1900/02,-0.169363636
1900/03,-0.277454545
